Iter,V_set,Mu,R_path,log_Q_beta,Real_Q_beta,log_Q_yaw,Real_Q_yaw,log_R_track,Real_R_track,log_R_rate,Real_R_rate,log_W_slip,Real_W_slip,Cost,SI_max,LatErr,Energy,SpdErr,Jerk,Danger
0,30,0.3,60,3.3,1995.3,3.3,1995.3,3.3,1995.3,3.47,2951.2,4.3,19953,33480000,0.3776,0.0738,0.067,0.0276,0.0085,0.3933
0,30,0.3,60,3.5849,3845.4,2.9154,823.06,1.9892,97.544,3.8676,7372.6,1.9025,79.9,34541000,0.3771,0.0739,0.0691,0.0313,0.0118,0.3933
0,30,0.3,60,4.4649,29166,2.1533,142.34,1.1944,15.648,4.3431,22035,4.7573,57181,28291000,0.3788,0.0737,0.0566,0.0215,0.0078,0.3933
0,30,0.3,60,4.3022,20053,3.3443,2209.6,1.6228,41.958,3.5717,3730,3.3893,2450.9,30700000,0.377,0.0738,0.0614,0.0309,0.0088,0.3933
0,30,0.3,60,2.0046,101.07,4.4896,30872,3.6075,4050.7,3.6991,5002.1,1.238,17.298,11676000,0.3773,0.0742,0.0234,0.031,0.0194,0.3933
0,30,0.3,60,4.4806,30239,4.4975,31440,4.2752,18846,3.8232,6655.9,4.8069,64105,42045000,0.3789,0.0739,0.0841,0.0211,0.0092,0.3933
0,30,0.3,60,2.0024,100.55,3.3948,2482,4.9877,97216,3.6621,4592.7,3.2366,1724.4,11673000,0.3774,0.0742,0.0234,0.0305,0.0179,0.3933
0,30,0.3,60,2.0008,100.19,2.5553,359.21,1.0337,10.807,3.2034,1597.5,1.1894,15.465,39392000,0.377,0.0738,0.0788,0.0313,0.0109,0.3933
0,30,0.3,60,2.0004,100.08,4.1842,15284,4.2383,17309,3.9783,9513.3,4.81,64572,41984000,0.3789,0.0738,0.084,0.021,0.009,0.3933
0,30,0.3,60,2.3813,240.61,3.4703,2953.4,4.9981,99563,4.0163,10384,1.6963,49.695,11666000,0.3773,0.0742,0.0233,0.0308,0.0182,0.3933
0,30,0.3,60,3.4723,2966.6,2.2661,184.56,4.5803,38043,3.2642,1837.3,2.4833,304.29,11672000,0.3773,0.0742,0.0233,0.0307,0.0181,0.3933
0,30,0.3,60,4.3272,21241,4.2793,19022,4.4273,26746,3.345,2213.3,1.0004,10.009,11667000,0.3773,0.0742,0.0233,0.0308,0.0182,0.3933
0,30,0.3,60,3.1566,1434.1,3.7282,5347.8,4.9988,99723,3.7825,6060,2.6933,493.53,11667000,0.3773,0.0742,0.0233,0.0307,0.0181,0.3933
0,30,0.3,60,3.5175,3292.6,3.8718,7443.3,4.2124,16306,4.1789,15097,1.5656,36.783,11673000,0.3773,0.0742,0.0233,0.0309,0.0194,0.3933
0,30,0.3,60,2.3886,244.67,4.2194,16574,3.865,7328.6,4.4202,26317,1.0069,10.161,11687000,0.3773,0.0742,0.0234,0.0311,0.0188,0.3933
0,30,0.3,60,3.0879,1224.3,3.855,7162.2,4.5464,35185,3.6516,4482.9,2.9763,946.8,11686000,0.3774,0.0742,0.0234,0.0305,0.0178,0.3933
0,30,0.3,60,3.0985,1254.5,3.7217,5269,4.9968,99258,3.4708,2956.7,1.1602,14.463,11665000,0.3773,0.0742,0.0233,0.0308,0.0182,0.3933
0,30,0.3,60,3.6541,4509.6,2.1717,148.49,4.1318,13546,4.2988,19898,1.2474,17.676,11674000,0.3773,0.0742,0.0234,0.031,0.0193,0.3933
0,30,0.3,60,2.2677,185.23,3.5277,3370.3,3.8998,7940.2,4.1923,15572,2.2132,163.37,11697000,0.3773,0.0742,0.0234,0.0309,0.0189,0.3933
0,30,0.3,60,2.0234,105.54,3.0369,1088.6,3.8015,6331.1,3.6979,4987.6,1.68,47.868,11678000,0.3773,0.0742,0.0234,0.0309,0.018,0.3933
0,30,0.3,60,2.0715,117.9,2.9477,886.61,4.9974,99397,4.1219,13242,2.9995,998.92,11668000,0.3774,0.0742,0.0233,0.0306,0.0195,0.3933
0,30,0.3,60,2.2414,174.33,3.9018,7975.8,4.1883,15429,3.0181,1042.7,2.0823,120.86,11672000,0.3773,0.0742,0.0233,0.0308,0.0181,0.3933
0,30,0.3,60,2.0913,123.4,3.1794,1511.5,4.1356,13665,3.158,1438.9,2.6657,463.17,11698000,0.3774,0.0742,0.0234,0.0306,0.0177,0.3933
0,30,0.3,60,2.3407,219.13,2.3253,211.47,4.9971,99325,3.4676,2934.6,2.1957,156.92,11666000,0.3773,0.0742,0.0233,0.0308,0.0182,0.3933
0,30,0.3,60,4.4104,25725,4.1939,15627,3.8217,6632.5,3.2026,1594.4,1.3057,20.214,11669000,0.3773,0.0742,0.0233,0.0308,0.0182,0.3933
0,30,0.3,60,2.0352,108.45,4.2424,17474,4.6793,47784,4.2769,18918,1.3173,20.765,11668000,0.3773,0.0742,0.0233,0.0309,0.0196,0.3933
0,30,0.3,60,3.3695,2341.8,2.2441,175.44,4.1825,15222,3.7614,5773,2.4244,265.7,11683000,0.3774,0.0742,0.0234,0.0308,0.0179,0.3933
